school,date,session_count
YMCA - East Boston,10-2021,2
YMCA - East Boston,11-2021,3
YMCA - East Boston,12-2021,1
YMCA - East Boston,01-2022,1
YMCA - East Boston,03-2022,6
YMCA - East Boston,04-2022,2
South Boston Neighborhood House,11-2021,2
South Boston Neighborhood House,12-2021,1
South Boston Neighborhood House,03-2022,1
YMCA RTH,03-2022,1
ABCD - Jamaica Plain,10-2021,2
ABCD - Jamaica Plain,09-2021,2
ABCD - Jamaica Plain,11-2021,2
ABCD - Jamaica Plain,03-2022,1
Shaloh,10-2021,1
Shaloh,12-2021,1
Shaloh,03-2022,1
Children Services of Roxbury,11-2021,1
Children Services of Roxbury,02-2022,1
Children Services of Roxbury,03-2022,2
Children Services of Roxbury,04-2022,1
ABCD - Walnut Grove,09-2021,2
ABCD - Walnut Grove,10-2021,2
ABCD - Walnut Grove,11-2021,2
Mission Grammar,10-2021,1
Mission Grammar,11-2021,3
Mission Grammar,12-2021,1
Mission Grammar,03-2022,1
Mission Grammar,04-2022,1
East Boston Social Center,03-2022,2
East Boston Social Center,04-2022,1
IBA,11-2021,1
IBA,10-2021,1
JFK Center,09-2021,3
JFK Center,10-2021,3
JFK Center,11-2021,4
JFK Center,03-2022,4
JFK Center,04-2022,1
Little Voices,09-2021,2
Little Voices,10-2021,3
Little Voices,11-2021,7
Little Voices,12-2021,3
Little Voices,02-2022,2
Little Voices,03-2022,5
Boys & Girls Club - McLaughlin,09-2021,1
Boys & Girls Club - McLaughlin,11-2021,1
Boys & Girls Club - McLaughlin,03-2022,1
Torah Academy,10-2021,2
Torah Academy,03-2022,3
Boys & Girls Club - Denny,10-2021,1
Boys & Girls Club - Denny,11-2021,1
Boys & Girls Club - Denny,01-2022,1
Boys & Girls Club - Denny,03-2022,1
BCNC,11-2021,1
Children's Services of Roxbury,11-2021,1
Horizons for Children,10-2021,3
Horizons for Children,11-2021,2
Horizons for Children,03-2022,5
YMCA Wang,10-2021,2
YMCA Wang,09-2021,2
YMCA Wang,11-2021,1
YMCA Wang,03-2022,1
Nurtury - Mt Pleasant,11-2021,2
YMCA Roxbury,09-2021,2
YMCA Roxbury,10-2021,2
YMCA Roxbury,11-2021,1
YMCA Roxbury,12-2021,1
YMCA Roxbury,02-2022,1
YMCA - West Roxbury,09-2021,2
YMCA - West Roxbury,10-2021,2
YMCA - West Roxbury,11-2021,1
YMCA - West Roxbury,12-2021,2
YMCA - West Roxbury,03-2022,1
Wesley,11-2021,2
Wesley,12-2021,1
Wesley,04-2022,1
Boys & Girls Club - Marr,10-2021,1
Boys & Girls Club - Marr,09-2021,1
Boys & Girls Club - Marr,12-2021,1
Boys & Girls Club - Marr,04-2022,1
Boys & Girls Club - Marr,03-2022,1
Hattie B Cooper,09-2021,1
Hattie B Cooper,10-2021,1
Hattie B Cooper,12-2021,2
Hattie B Cooper,03-2022,2
VietAid,03-2022,1
3rd CBO TBD,03-2022,1
ABCD Roslindale,10-2021,1
ABCD Roslindale,11-2021,1
ABCD Roslindale,12-2021,1
ABCD Roslindale,04-2022,1
ABCD Hyde Park,10-2021,1
ABCD Hyde Park,12-2021,1
ABCD Hyde Park,03-2022,1
